"○ 월.분기.연간 인구동향(출생,사망,혼인,이혼) [명, 건]",,,
행정구역별,종류별,시점,"출생,사망,혼인,이혼"
전국,출생아수(명),1981.01 월,88151
전국,출생아수(명),1981.02 월,93556
전국,출생아수(명),1981.03 월,70421
전국,출생아수(명),1981.04 월,66093
전국,출생아수(명),1981.05 월,68940
전국,출생아수(명),1981.06 월,64634
전국,출생아수(명),1981.07 월,67722
전국,출생아수(명),1981.08 월,69023
전국,출생아수(명),1981.09 월,68127
전국,출생아수(명),1981.10 월,69425
전국,출생아수(명),1981.11 월,70250
전국,출생아수(명),1981.12 월,71067
전국,출생아수(명),1982.01 월,93141
전국,출생아수(명),1982.02 월,94346
전국,출생아수(명),1982.03 월,70860
전국,출생아수(명),1982.04 월,66316
전국,출생아수(명),1982.05 월,64466
전국,출생아수(명),1982.06 월,63209
전국,출생아수(명),1982.07 월,64074
전국,출생아수(명),1982.08 월,64447
전국,출생아수(명),1982.09 월,64079
전국,출생아수(명),1982.10 월,68418
전국,출생아수(명),1982.11 월,66545
전국,출생아수(명),1982.12 월,68411
전국,출생아수(명),1983.01 월,86723
전국,출생아수(명),1983.02 월,89422
전국,출생아수(명),1983.03 월,61169
전국,출생아수(명),1983.04 월,56581
전국,출생아수(명),1983.05 월,57580
전국,출생아수(명),1983.06 월,54972
전국,출생아수(명),1983.07 월,57652
전국,출생아수(명),1983.08 월,58611
전국,출생아수(명),1983.09 월,59233
전국,출생아수(명),1983.10 월,63446
전국,출생아수(명),1983.11 월,63070
전국,출생아수(명),1983.12 월,60696
전국,출생아수(명),1984.01 월,78667
전국,출생아수(명),1984.02 월,86565
전국,출생아수(명),1984.03 월,50844
전국,출생아수(명),1984.04 월,48969
전국,출생아수(명),1984.05 월,48151
전국,출생아수(명),1984.06 월,46690
전국,출생아수(명),1984.07 월,50651
전국,출생아수(명),1984.08 월,51756
전국,출생아수(명),1984.09 월,52811
전국,출생아수(명),1984.10 월,56946
전국,출생아수(명),1984.11 월,53017
전국,출생아수(명),1984.12 월,49726
전국,출생아수(명),1985.01 월,72917
전국,출생아수(명),1985.02 월,75291
전국,출생아수(명),1985.03 월,48440
전국,출생아수(명),1985.04 월,45366
전국,출생아수(명),1985.05 월,47386
전국,출생아수(명),1985.06 월,46209
전국,출생아수(명),1985.07 월,50174
전국,출생아수(명),1985.08 월,52437
전국,출생아수(명),1985.09 월,51726
전국,출생아수(명),1985.10 월,57499
전국,출생아수(명),1985.11 월,54395
전국,출생아수(명),1985.12 월,53649
전국,출생아수(명),1986.01 월,69708
전국,출생아수(명),1986.02 월,73659
전국,출생아수(명),1986.03 월,48593
전국,출생아수(명),1986.04 월,47880
전국,출생아수(명),1986.05 월,47800
전국,출생아수(명),1986.06 월,45245
전국,출생아수(명),1986.07 월,48895
전국,출생아수(명),1986.08 월,49608
전국,출생아수(명),1986.09 월,50185
전국,출생아수(명),1986.10 월,52638
전국,출생아수(명),1986.11 월,52631
전국,출생아수(명),1986.12 월,49177
전국,출생아수(명),1987.01 월,66975
전국,출생아수(명),1987.02 월,72652
전국,출생아수(명),1987.03 월,46306
전국,출생아수(명),1987.04 월,47635
전국,출생아수(명),1987.05 월,47452
전국,출생아수(명),1987.06 월,45605
전국,출생아수(명),1987.07 월,46936
전국,출생아수(명),1987.08 월,48582
전국,출생아수(명),1987.09 월,50479
전국,출생아수(명),1987.10 월,53605
전국,출생아수(명),1987.11 월,50425
전국,출생아수(명),1987.12 월,47179
전국,출생아수(명),1988.01 월,69373
전국,출생아수(명),1988.02 월,72415
전국,출생아수(명),1988.03 월,43404
전국,출생아수(명),1988.04 월,44318
전국,출생아수(명),1988.05 월,46754
전국,출생아수(명),1988.06 월,44489
전국,출생아수(명),1988.07 월,47122
전국,출생아수(명),1988.08 월,49807
전국,출생아수(명),1988.09 월,52448
전국,출생아수(명),1988.10 월,55500
전국,출생아수(명),1988.11 월,54895
전국,출생아수(명),1988.12 월,52567
전국,출생아수(명),1989.01 월,67060
전국,출생아수(명),1989.02 월,74369
전국,출생아수(명),1989.03 월,44941
전국,출생아수(명),1989.04 월,45984
전국,출생아수(명),1989.05 월,48205
전국,출생아수(명),1989.06 월,45277
전국,출생아수(명),1989.07 월,48222
전국,출생아수(명),1989.08 월,50202
전국,출생아수(명),1989.09 월,53121
전국,출생아수(명),1989.10 월,53824
전국,출생아수(명),1989.11 월,53011
전국,출생아수(명),1989.12 월,55215
전국,출생아수(명),1990.01 월,66120
전국,출생아수(명),1990.02 월,79410
전국,출생아수(명),1990.03 월,45610
전국,출생아수(명),1990.04 월,49619
전국,출생아수(명),1990.05 월,51680
전국,출생아수(명),1990.06 월,48054
전국,출생아수(명),1990.07 월,51089
전국,출생아수(명),1990.08 월,51712
전국,출생아수(명),1990.09 월,52869
전국,출생아수(명),1990.10 월,53049
전국,출생아수(명),1990.11 월,50881
전국,출생아수(명),1990.12 월,49645
전국,출생아수(명),1991.01 월,71336
전국,출생아수(명),1991.02 월,71897
전국,출생아수(명),1991.03 월,53812
전국,출생아수(명),1991.04 월,53940
전국,출생아수(명),1991.05 월,54268
전국,출생아수(명),1991.06 월,50729
전국,출생아수(명),1991.07 월,55195
전국,출생아수(명),1991.08 월,56054
전국,출생아수(명),1991.09 월,58557
전국,출생아수(명),1991.10 월,62290
전국,출생아수(명),1991.11 월,59956
전국,출생아수(명),1991.12 월,61241
전국,출생아수(명),1992.01 월,71945
전국,출생아수(명),1992.02 월,72435
전국,출생아수(명),1992.03 월,57645
전국,출생아수(명),1992.04 월,57983
전국,출생아수(명),1992.05 월,56548
전국,출생아수(명),1992.06 월,54395
전국,출생아수(명),1992.07 월,56424
전국,출생아수(명),1992.08 월,57607
전국,출생아수(명),1992.09 월,60199
전국,출생아수(명),1992.10 월,63420
전국,출생아수(명),1992.11 월,60482
전국,출생아수(명),1992.12 월,61595
전국,출생아수(명),1993.01 월,69626
전국,출생아수(명),1993.02 월,69872
전국,출생아수(명),1993.03 월,62801
전국,출생아수(명),1993.04 월,58952
전국,출생아수(명),1993.05 월,56333
전국,출생아수(명),1993.06 월,53701
전국,출생아수(명),1993.07 월,55802
전국,출생아수(명),1993.08 월,56583
전국,출생아수(명),1993.09 월,57843
전국,출생아수(명),1993.10 월,58737
전국,출생아수(명),1993.11 월,57489
전국,출생아수(명),1993.12 월,58087
전국,출생아수(명),1994.01 월,70067
전국,출생아수(명),1994.02 월,67374
전국,출생아수(명),1994.03 월,63070
