연 번,기 능,설 치 장 소,위도,경도,연 락 처
1002,다기능,부여군 홍산면 대백제로(남촌리 352-12) 남촌사거리(서천→부여),36.2105012,126.7605275,041-336-2253
1003,다기능,"서천군 마서면 대백제로 장항역사거리(덕암리 111-7, 서천→장항)",36.0380958,126.7090405,041-336-2253
1004,과속,"서천군 마서면 장산로 해송복집 앞(당선리 91-8, 장항→하구둑)",36.0071175,126.7339848,041-336-2253
1005,다기능,금산군 군북면 금산로(내부리 601-3) 의총삼거리(금산→추부),36.1268997,127.4982222,041-336-2253
1006,다기능,"청양군 화성면 대청로 여주재교차로(신정리 315-22, 청양→보령)",36.4453455,126.7371901,041-336-2253
1007,다기능,"태안군 소원면 신덕리 1369-3, 서해로 법산교차로(태안→만리포)",36.7579996,126.2003778,041-336-2253
1008,구간,"천안논산고속도로 268.8km(천안 동남 풍세면 풍서리 125-11) 논산방향 1,2차로 시점",36.7199407,127.1319566,041-336-2253
1009,구간,"천안논산고속도로 252.6km(공주 정안면 인풍리 184-5) 논산방향 1,2차로 종점",36.638558,127.1149418,041-336-2253
1010,구간,"대전당진고속도로 2km(당진시 면천면 사기소리 192-3) 대전방향 1,2차로 시점",36.8365902,126.6299396,041-336-2253
1011,구간,"대전당진고속도로 11.2km(예산군 고덕면 몽곡리 530-36) 대전방향 1,2차로 종점",36.7741616,126.6977107,041-336-2253
1012,구간,"천안논산고속도로 211.9km(논산시 광석면 갈산리 595) 천안방향 1,2차로 시점",36.2288026,127.0546961,041-336-2253
1013,구간,"천안논산고속도로 230.2km(공주시 이인면 주봉리 661-1) 천안방향 1,2차로 종점",36.3915253,127.0743256,041-336-2253
1014,과속,"공주시 금학동 우금티로 우금티사거리(금학동 320-5, 이인→공주)",36.4320639,127.1121267,041-336-2253
1015,다기능,"공주시 옥룡동 우금티로 옥룡주공1단지 앞(옥룡동 97, 한전공주지사→공주터널)",36.4440906,127.1336521,041-336-2253
1016,다기능,"공주시 탄천면 통산로 탄천초등학교 앞(삼각리 485-2, 탄천치안센터→성리교차로)",36.3307414,127.0301095,041-336-2253
1017,다기능,"공주시 봉정동 봉정길 태봉초등학교 앞(봉정동 631-3, 공주→부여)",36.417543,127.090551,041-336-2253
1018,다기능,"공주시 반포면 반포초교길 반포초등학교 앞(공암리 518-1, 반포중→반포면사무소)",36.4018435,127.24648,041-336-2253
1019,다기능,"공주시 의당면 의당길 수촌초등학교 앞(수촌리 301-6, 정안→의당면사무소)",36.5172763,127.1351777,041-336-2253
1020,다기능,"공주시 신관동 신금1길 금흥교차로(신관동 676, KT공주빌딩→한적교차로)",36.4771146,127.1431225,041-336-2253
1021,다기능,"공주시 유구읍 중앙1길 유구초등학교 앞(석남리 246-2, 유구읍사무소→수촌교)",36.5539075,126.9498613,041-336-2253
1022,다기능,"공주시 계룡면 영규대사로 계룡초등학교 앞(유평리 287-1, 계룡우체국→유평교차로)",36.3477412,127.1379876,041-336-2253
1023,다기능,"공주시 계룡면 신원사로 경천초등학교 앞(경천리 371-1, 화헌교→경천중)",36.3244665,127.1496815,041-336-2253
1024,과속,"청양군 남양면 구용길 남양초등학교 앞(구룡리 63-6, 구룡1리마을회관→남양면사무소)",36.4002392,126.7768137,041-336-2253
1025,다기능,"청양군 남양면 구용길 남양초등학교 건너편(구룡리 63-7, 남양식당→남양우체국)",36.3999006,126.7771924,041-336-2253
1026,과속,"청양군 청남면 충의로 장평초등학교 앞(대흥리 530-2, 장평초→장평사거리)",36.3448599,126.8987524,041-336-2253
1027,과속,"청양군 화성면 무한로 합천초등학교 앞(산정리 583, 산정리삼거리→청양화성우체국)",36.4253634,126.7143596,041-336-2253
1028,과속,"청양군 목면 안심길 목면초등학교 앞(안심리 316-4, 현대오일뱅크→목면사무소)",36.4209523,127.0041096,041-336-2253
1029,과속,"청양군 장평면 미당큰길 미당초등학교 앞(미당리 7-5, 학암교→미당치안센터)",36.3728457,126.9340898,041-336-2253
1030,과속,"청양군 청양읍 문화예술로 청양유치원 앞(송방리 137-13, 청양문화예술회관→청양고)",36.453056,126.7999895,041-336-2253
1031,다기능,"청양군 청양읍 칠갑산로 청송초등학교 앞(장승리 26-3, 백세김→삼거리정미소)",36.4487507,126.7882963,041-336-2253
1032,과속,"청양군 비봉면 충절로 가남초등학교 앞(록평리 37-2, 가남초→비봉파출소)",36.5170492,126.7881607,041-336-2253
1033,다기능,"아산시 풍기동 남부로 아이사랑유치원 인근(풍기동 517, 아이파크1단지@→동신사거리)",36.7712088,127.0092912,041-336-2253
1034,다기능,"아산시 풍기동 남부로 아이사랑유치원 인근(풍기동 446, 동신사거리→아이파크1단지@)",36.7712088,127.0092912,041-336-2253
