연 번,기 능,설 치 장 소,위도,경도,연 락 처
1,다기능,천안시 서북구 충무로 일봉산사거리(천안충무병원 앞),36.7973471,127.1315479,041-336-2253
2,과속,천안시 동남구 광덕면 광풍로 1021 광풍중학교 앞,36.7151964,127.1161464,041-336-2253
3,다기능,계룡시 계룡대로 금암동 463 문예공원사거리,36.2691512,127.2591705,041-336-2253
4,다기능,공주시 우금티로 E편한세상 앞 교차로,36.442977,127.124808,041-336-2253
5,다기능,보령시 주포면 충서로 관산사거리,36.4025303,126.570263,041-336-2253
6,다기능,당진시 북문로 15 푸르지오@ 사거리,36.8936109,126.6283278,041-336-2253
7,다기능,홍성군 갈산면 내포로 동산사거리,36.5994289,126.5819159,041-336-2253
8,과속,예산군 고덕면 내석곡리 GS고덕한빛주유소 100m 후방,,,041-336-2253
9,과속,부여군 석성면 대백제로 사비문 논산방면,36.2530438,126.9812949,041-336-2253
10,과속,서천군 장항읍 장산로 산업단지삼거리(하구둑→장항읍),36.0041215,126.7160295,041-336-2253
11,과속,청양군 정산면 충의로 청양IC 입구,36.4115478,126.9449627,041-336-2253
12,다기능,예산군 예산읍 발연로 발연네거리(예산→아산),36.6982391,126.8319505,041-336-2253
13,과속,"태안군 원북면 이곡2길 7-4, 농협창고 앞",36.8534184,126.2352807,041-336-2253
14,다기능,"아산시 문화로 터미널앞사거리 (모종동, 동신사거리→시청)",36.7785204,127.0193207,041-336-2253
15,다기능,아산시 음봉면 음봉로 태헌장미@ 앞,36.8297933,127.0967007,041-336-2253
16,다기능,아산시 배방읍 고속철대로 Y-시티아파트 108동 앞 단일로(아산→천안),36.797548,127.108605,041-336-2253
17,과속,보령시 주산면 충서로 주산초등학교 앞(보령→서천),36.1993615,126.634401,041-336-2253
18,다기능,예산군 삽교읍 두리길 떼말교차로,36.6931028,126.7464042,041-336-2253
19,다기능,아산 탕정면 삼성로 삼성고 4가(탕정면사무소→삼성디스플레이),36.8210753,127.0795038,041-336-2253
20,다기능,서산시 석남동 양열로 석지사거리(해미→태안),36.7611734,126.4618682,041-336-2253
21,다기능,서산시 석남동 양열로 석지사거리(태안→해미),36.7611734,126.4618682,041-336-2253
22,다기능,아산 도고면 온천대로 와산삼거리,36.7540499,126.8963275,041-336-2253
23,다기능,아산시 모종동 문화로 터미널 앞 교차로(박물관4가→동신4가),36.7839641,127.0169875,041-336-2253
24,다기능,아산 염치읍 충무로 방수사거리,36.8125716,127.0048767,041-336-2253
